Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2405097,1-Sep-22,Ohio,Akron,1097 Battles Ave,0,1,N/A
2404639,1-Sep-22,Georgia,Americus,Barbara Battle Way and Patterson St,0,1,N/A
2404041,1-Sep-22,North Carolina,Asheville,Erskine Ave,0,1,N/A
2401110,29-Aug-22,California,Oakland,400 Capistrano Dr,0,1,N/A
2400841,28-Aug-22,Texas,Houston,2218 Place Rebecca Ln,0,1,N/A
2400009,27-Aug-22,Texas,San Antonio,3700 block of Binz-Engleman Rd,0,2,N/A
2402514,27-Aug-22,Texas,Lubbock,26th St and University Ave,0,1,N/A
2398567,26-Aug-22,New York,Rochester,516 Campbell St,0,1,N/A
2399719,26-Aug-22,Idaho,Garden City,Midway Dr,0,1,N/A
2399703,26-Aug-22,Wisconsin,Milwaukee,49th St and Keefe Ave,0,1,N/A
2399353,25-Aug-22,Illinois,East Saint Louis (Cahokia),100 block of Amelia Dr,0,1,N/A
2396786,23-Aug-22,Pennsylvania,Williamsport,300 block of Louisa St,0,1,N/A
2393955,20-Aug-22,California,Los Angeles (Hollywood),6801 Hollywood Blvd,0,1,N/A
2393354,20-Aug-22,New Jersey,Paterson,124 Putnam St,0,2,N/A
2398796,19-Aug-22,North Carolina,Charlotte,Arrowood Rd,0,1,N/A
2391423,18-Aug-22,Florida,Ruskin,2342 E Shell Point Rd,0,1,N/A
2392483,17-Aug-22,Illinois,Kankakee,1200 W Jeffery St,0,1,N/A
2389677,16-Aug-22,Virginia,Damascus,N/A,0,1,N/A
2389498,15-Aug-22,Ohio,Columbus,600 block of E 2nd Ave,0,1,N/A
2387044,13-Aug-22,South Carolina,Walterboro,252 E Washington St,0,4,N/A
2385649,12-Aug-22,Connecticut,Meriden,72 Forest Ave,0,1,N/A
2384784,11-Aug-22,Illinois,Chicago,11300 block of S Normal Ave,0,1,N/A
2388819,10-Aug-22,Alabama,Andalusia,N/A,0,1,N/A
2383186,9-Aug-22,Minnesota,Minneapolis,1100 block of James Ave N,0,1,N/A
2379865,5-Aug-22,South Carolina,Georgetown,Carlos Dr,0,1,N/A
2379966,5-Aug-22,Kentucky,Louisville,3407 W Broadway,0,3,N/A
2376546,1-Aug-22,Michigan,Grand Rapids,Eastern Ave SE and Hall St SE,0,1,N/A
2373566,28-Jul-22,Mississippi,Brandon,Old Fannin Rd and Oak Grove Dr,0,1,N/A
2374470,27-Jul-22,Washington,Tacoma (Parkland),98th St S and Ainsworth St S,0,2,N/A
2376266,27-Jul-22,California,Taft,100 block of Lucard St,0,1,N/A
2370937,27-Jul-22,New York,Gloversville,216 E Fulton St,0,2,N/A
2370618,26-Jul-22,Michigan,Detroit,15850 Joy Rd,0,1,N/A
2369851,25-Jul-22,Louisiana,Port Allen,215 N Lobdell Hwy,0,1,N/A
2369218,24-Jul-22,Ohio,Cincinnati,600 block of Dutch Colony Dr,0,1,N/A
2492017,21-Jul-22,Wisconsin,Racine (county),N/A,0,1,N/A
2365795,21-Jul-22,Florida,Orlando,831 Sky Lake Cir,0,1,N/A
2366355,21-Jul-22,Pennsylvania,Philadelphia,4500 block of N 13th St,0,1,N/A
2364876,19-Jul-22,South Carolina,Beaufort,381 Broad River Dr,0,1,N/A
2364848,19-Jul-22,Georgia,Decatur,3800 block of Waldrop Hills Dr,0,2,N/A
2362835,17-Jul-22,Florida,Jacksonville,1700 San Pablo Rd S,0,2,N/A
2360718,15-Jul-22,Alabama,Odenville,Love Joy Ter,0,1,N/A
2360753,15-Jul-22,Georgia,Savannah,500 block of Kline St,0,1,N/A
2359886,13-Jul-22,Louisiana,Monroe,3000 block of Gordon Ave,0,1,N/A
2357202,11-Jul-22,New York,Bronx,Park Ave and E 163rd St,0,2,N/A
2356721,11-Jul-22,Illinois,Chicago,100 block of W Cullerton St,0,1,N/A
2357441,11-Jul-22,Pennsylvania,Pittsburgh,Lorenz Ave,0,1,N/A
2355823,10-Jul-22,Michigan,Detroit,Alcoy Ave and Fairmount Dr,0,1,N/A
2355515,10-Jul-22,Kansas,Emporia,1400 block of Rd M,0,1,N/A
2353728,7-Jul-22,Arkansas,Wynne,Fitzhugh Cir,0,1,N/A
2492013,7-Jul-22,Wisconsin,Forest (county),N/A,0,1,N/A
2351935,6-Jul-22,Florida,Molino,Chaudron Rd,0,1,N/A
2353152,6-Jul-22,New York,Corona (Queens),143rd St and Linden Blvd,0,1,N/A
2349971,5-Jul-22,Texas,Houston,5500 block of Gaston,0,1,N/A
2350838,4-Jul-22,California,San Francisco,Underwood Ave and Ingalls St,0,1,N/A
2348128,3-Jul-22,Louisiana,Shreveport,800 block of Pine St,0,1,N/A
2346865,2-Jul-22,Virginia,Petersburg,120 Perry St,1,2,N/A
2347221,2-Jul-22,California,Modesto,900 block of Inez Dr,0,1,N/A
2347284,1-Jul-22,Kentucky,Shepherdsville,1707 Raymond Rd,0,1,N/A
2343306,27-Jun-22,Texas,Jasper,1275 Marvin Hancock Dr,0,1,N/A
2343234,26-Jun-22,Pennsylvania,Dalton (North Abington Township),1839 N Abington Rd,0,1,N/A
2336153,20-Jun-22,Illinois,Rockford,600 block of Ranger St,0,1,N/A
2332975,15-Jun-22,Florida,Lakeland,Old Rd 37,0,1,N/A
2333711,15-Jun-22,Mississippi,Tupelo,Lumpkin Ave,0,1,N/A
2331807,14-Jun-22,Pennsylvania,Dauphin,100 block of Elizabeth Ave,0,1,N/A
2328904,12-Jun-22,Pennsylvania,Pittsburgh,Rose St and Elmore St,0,1,N/A
2328519,12-Jun-22,Texas,San Antonio,5627 Culebra Rd,0,1,N/A
2329272,11-Jun-22,Indiana,Goshen,N/A,0,1,N/A
2327190,10-Jun-22,Kentucky,Lexington,E 6th St and Pemberton St,0,1,N/A
2324243,7-Jun-22,New York,Corona (Queens),205-21 113th Rd,0,1,N/A
2324358,6-Jun-22,Florida,Ocala,3120 SE 10th Ave,0,1,N/A
2323667,4-Jun-22,Washington,Bellingham,N/A,0,1,N/A
2320914,4-Jun-22,Illinois,Chicago,9109 S Paxton Ave,0,1,N/A
2319593,2-Jun-22,Virginia,Portsmouth,1100 block of Virginia Ave,0,1,N/A
2317415,31-May-22,Indiana,Fort Wayne,1717 Andrew St,0,2,N/A
2319294,30-May-22,Florida,Sarasota (Siesta Key),Avenida Messina,0,1,N/A
2315621,29-May-22,Illinois,Decatur,800 block of W Elm St,0,1,N/A
2312972,26-May-22,Tennessee,Memphis,5975 Bishop Dale Dr,0,1,N/A
2313362,26-May-22,Mississippi,Jackson,Queen Theresa Ln,0,1,N/A
2310798,24-May-22,South Carolina,North Charleston,6520 Dorchester Rd,0,1,N/A
2312614,24-May-22,California,Lemon Grove,Lemon Grove Way and Hilltop Dr,0,1,N/A
2312322,23-May-22,Illinois,Freeport,100 block of S Cherry Ave,0,1,N/A
2310144,23-May-22,Pennsylvania,Catasauqua,Railroad St,0,1,N/A
2309721,20-May-22,New Mexico,Hobbs,3100 block of E Stanolind Rd,0,1,N/A
2306392,18-May-22,Florida,Dade City,Johns Rd,1,2,N/A
2303845,15-May-22,Missouri,Saint Louis,209 E Grand Ave,0,1,N/A
2302239,13-May-22,North Carolina,Gastonia,Matthews St,0,1,N/A
2301767,13-May-22,Georgia,Lagrange,1200 Whitesville Rd,0,1,N/A
2301367,11-May-22,Ohio,Wellsville,12th St and Commerce St,0,1,N/A
2299126,11-May-22,Indiana,Indianapolis,701 Canal Walk,0,5,N/A
2301126,10-May-22,Ohio,Wellsville,1300 block of Commerce St,0,1,N/A
2300249,8-May-22,Vermont,Hartford,Quarry Rd,0,1,N/A
2294863,5-May-22,Utah,Ogden,468 River Dr,0,1,N/A
2295340,2-May-22,Idaho,Coeur D Alene (Coeur D'alene),1900 block of N Eighth St,0,2,N/A
2294398,2-May-22,California,Oxnard,Rubio Cir,0,1,N/A
2292005,30-Apr-22,Pennsylvania,Philadelphia,2200 block of N Woodstock St,0,1,N/A
2289046,27-Apr-22,Georgia,Decatur,100 block of W Ponce de Leon Ave,0,2,N/A
2287291,24-Apr-22,Wisconsin,Milwaukee,5800 block of W Silver Spring Dr,0,1,N/A
2290880,24-Apr-22,Florida,Inverness,4229 S Rainbow Dr,0,1,N/A
2285981,23-Apr-22,Oregon,Medford,1600 N Riverside Ave,0,2,N/A
2285594,22-Apr-22,New York,Coram,Middle Country Rd,0,2,N/A
2285342,22-Apr-22,Alabama,Tuscaloosa,4420 21st St,0,1,N/A
2282719,19-Apr-22,Oklahoma,Oklahoma City,700 block of SW 56th St,0,1,N/A
2277789,12-Apr-22,Virginia,Suffolk,600 block of Kinsey Ln,0,1,N/A
2274174,8-Apr-22,Arkansas,Clay (county),N/A,0,1,N/A
2273881,8-Apr-22,Georgia,Lithonia,2929 Turner Hill Rd,0,1,N/A
2274228,8-Apr-22,Florida,Jacksonville,2900 block of Van Gundy Rd,0,1,N/A
2272947,6-Apr-22,California,Fresno,2407 W Alamos Ave,0,1,N/A
2269990,3-Apr-22,Ohio,Canal Winchester,5100 block of Banneker St,0,1,N/A
2268401,31-Mar-22,Michigan,Grand Rapids (Kentwood),Division Ave S and 60th St SE,0,1,N/A
2266326,30-Mar-22,Texas,San Antonio,4803 Manitou Dr,0,1,N/A
2264265,27-Mar-22,North Carolina,Winston Salem (Winston-salem),300 block of Glendare Dr,0,1,N/A
2261846,24-Mar-22,Kentucky,Louisville,W Hill St and S 7th St,0,1,N/A
2267073,23-Mar-22,Arizona,Kingman,W Beale St and Grandview Ave,0,1,N/A
2260019,21-Mar-22,Pennsylvania,Erie,900 block of E 6th St,0,1,N/A
2259373,20-Mar-22,Georgia,Warner Robins,206 Northlake Dr,0,1,N/A
2258867,20-Mar-22,Maryland,Cambridge,Clinton St and Park Ln,0,1,N/A
2258940,20-Mar-22,Illinois,Chicago,2400 block of E 72nd St,0,1,N/A
2260170,20-Mar-22,South Carolina,Spartanburg,489 W Main St,0,2,N/A
2257025,17-Mar-22,Tennessee,Nashville,Charles E Davis Blvd and Lafayette St,0,1,N/A
2254265,15-Mar-22,Pennsylvania,Philadelphia,2300 block of 77th Ave,0,1,N/A
2252973,13-Mar-22,Louisiana,Baton Rouge (Central),10041 E Brookside Dr,0,1,N/A
2252237,12-Mar-22,Mississippi,Jackson,W McDowell Rd and Oak Forest Dr,0,1,N/A
2249038,6-Mar-22,Alabama,Mobile,3700 Michael Blvd,0,1,N/A
2245734,2-Mar-22,Indiana,Cedar Lake,8500 block of W 141st Ln,0,1,N/A
2245236,1-Mar-22,Illinois,Chicago,2300 block of W 72nd St,1,0,N/A
2243334,27-Feb-22,Missouri,Saint Louis,4000 block of Germania Ave,0,1,N/A
2244706,24-Feb-22,Alabama,Montgomery,3000 block of McGehee Rd,0,1,N/A
2241368,24-Feb-22,California,Olivehurst,McGowan Pkwy and Fleming Ave,0,1,N/A
2242007,23-Feb-22,Tennessee,Nashville,US-70,0,1,N/A
2238348,20-Feb-22,Alabama,Mobile,N/A,0,2,N/A
2237332,19-Feb-22,North Carolina,Rocky Mount,100 block of Camellia Ct,0,2,N/A
2256889,19-Feb-22,Georgia,Forsyth,600 Greensferry Ave SW,0,1,N/A
2239650,19-Feb-22,Georgia,Cumming,Castleberry Rd and Castleberry Village Dr,0,1,N/A
2235374,15-Feb-22,Alabama,Montgomery,1900 block of West St,0,1,N/A
2235563,15-Feb-22,Louisiana,New Orleans,7000 block of Crowder Blvd,0,1,N/A
2230709,9-Feb-22,Oklahoma,Fairland,E 180 Rd and W Ritter Rd,0,1,N/A
2228452,7-Feb-22,Florida,Homestead,800 block of E Mowry Dr,0,1,N/A
2227729,6-Feb-22,Florida,Jacksonville,1400 Seawolf Trail N,0,1,N/A
2226970,4-Feb-22,Ohio,Youngstown,Parkview Ave,0,1,N/A
2227030,3-Feb-22,Georgia,Decatur,2863 Kelley Chapel Rd,0,1,N/A
2222327,27-Jan-22,Alabama,Montgomery,N/A,0,1,N/A
2220535,25-Jan-22,Ohio,Columbus,200 block S Princeton Ave,0,1,N/A
2219378,22-Jan-22,Louisiana,Baton Rouge,4200 block of Orchid St,0,1,N/A
2216891,20-Jan-22,Delaware,Wilmington,200 block of W 30th St,0,1,N/A
2216018,19-Jan-22,Pennsylvania,Erie,1700 block of Cherry St,0,1,N/A
2214562,18-Jan-22,New York,Bronx,2356 Lorillard Pl,0,2,N/A
2214109,17-Jan-22,Georgia,Warner Robins,200 Block of Northlake Dr,0,1,N/A
2208081,10-Jan-22,Indiana,Middlebury,54348 Co Rd 43,0,2,N/A
2204598,5-Jan-22,Texas,San Antonio,4611 E Houston St,0,1,N/A
2204097,1-Jan-22,South Carolina,Lamar,Bo Smith Rd,0,1,N/A
2201894,1-Jan-22,New York,New York (Manhattan),120 E 119th St,0,1,N/A
2202438,1-Jan-22,Missouri,Saint Louis,7100 block of Field Ave,0,1,N/A
2201172,31-Dec-21,Minnesota,Minneapolis (Bloomington),60 E Broadway,0,2,N/A
2201156,31-Dec-21,Nebraska,Omaha,S 43rd St and Leavenworth St,0,1,N/A
2369382,31-Dec-21,North Carolina,Sneads Ferry,Old Folkstone Rd and Chadwick Acres Rd,0,1,N/A
2202428,31-Dec-21,Missouri,Saint Louis,Natural Bridge Ave and Goodfellow Blvd,0,2,N/A
2200159,30-Dec-21,Illinois,Chicago,8000 block of S Crandon Ave,0,1,N/A
2199931,29-Dec-21,Utah,Paradise,399 W 9000 S,0,1,N/A
2199253,28-Dec-21,Illinois,East Saint Louis (Cahokia),700 block St Norbert Dr,0,2,N/A
2199532,28-Dec-21,Nevada,Reno,2625 Yori Ave,0,1,N/A
2193534,20-Dec-21,South Carolina,North Charleston,2150 Northwoods Blvd,0,1,N/A
2193233,19-Dec-21,Texas,Lubbock,6002 Slide Rd,0,1,N/A
2193019,17-Dec-21,Illinois,Quincy,520 S Fourth St,0,1,N/A
2195193,17-Dec-21,Colorado,Greeley,N/A,0,1,N/A
2190821,15-Dec-21,California,Cathedral City,68100 block of Peladora Rd,0,1,N/A
2189336,13-Dec-21,Michigan,Cedar Springs,N/A,0,1,N/A
2189911,13-Dec-21,Louisiana,Clinton,10803 Plank Rd,0,1,N/A
2188570,12-Dec-21,Georgia,Gainesville,3470 Mundy Mill Rd,0,1,N/A
2187486,11-Dec-21,Pennsylvania,Philadelphia,2100 block of E Stella St,0,1,N/A
2183685,6-Dec-21,California,Wilmington,1500 block of E Denni St,1,2,N/A
2183314,5-Dec-21,Texas,Douglass,13000 block of TX-21,0,1,N/A
2182813,4-Dec-21,Wisconsin,Milwaukee,N 27th St and W McKinley Blvd,0,1,N/A
2182656,4-Dec-21,Georgia,Savannah,1900 block of Duval St,0,1,N/A
2184657,4-Dec-21,Ohio,Toledo,N/A,0,1,N/A
2180913,2-Dec-21,Louisiana,Lafayette,5725 Johnston St,0,1,N/A
2177211,28-Nov-21,Alabama,Dothan,900 Block of Ussery St,0,1,N/A
2175942,22-Nov-21,South Dakota,Rapid City,Fairmont Ct,0,1,N/A
2171859,20-Nov-21,North Carolina,Robbins,Cummings Rd,0,4,N/A
2171285,19-Nov-21,Texas,Lubbock,3600 block of 43rd St,0,1,N/A
2169312,16-Nov-21,Georgia,Perry,Coventry Cir,1,1,N/A
2167076,14-Nov-21,Florida,Tampa,8500 block of N Alaska St,0,1,N/A
2169593,13-Nov-21,New York,Albany,N Allen St,0,2,N/A
2167270,13-Nov-21,Georgia,Nashville,300 block of JD Nichols Rd,1,1,N/A
2165367,11-Nov-21,Maryland,Beltsville,4600 block of Marie St,0,1,N/A
2165756,10-Nov-21,Indiana,Elkhart,N/A,0,1,N/A
2161899,6-Nov-21,Alabama,Huntsville,Rutledge Dr,0,1,N/A
2157333,2-Nov-21,Connecticut,Waterbury,Congress Ave and St. James Pl,0,1,N/A
2156489,1-Nov-21,North Carolina,Smithfield,Martin Luther King Jr Blvd and Furlong Dr,0,1,N/A
2157402,1-Nov-21,Indiana,Greenwood,1251 US Hwy 31 N,0,1,N/A
2155878,31-Oct-21,Oklahoma,Bartlesville,2800 block of SE Sheridan Rd,0,1,N/A
2150980,25-Oct-21,Michigan,Irons,N Oakwood Ln,0,1,N/A
2154118,24-Oct-21,Kentucky,Murray,107 N 12th St,0,1,N/A
2145455,18-Oct-21,Illinois,Rantoul,1400 block of Gleason Dr,0,1,N/A
2142065,15-Oct-21,Kentucky,Louisville,Norfolk Dr and Fegenbush Ln,0,1,N/A
2142206,15-Oct-21,Virginia,Henrico,1700 block of Fawcett Ln,0,1,N/A
2139975,12-Oct-21,Florida,Gainesville,1602 NE Waldo Rd,0,1,N/A
2139583,11-Oct-21,Indiana,Lafayette,3000 block of Underwood St,0,1,N/A
2138119,10-Oct-21,Utah,Pleasant Grove,900 W 600 S,0,2,N/A
2138131,10-Oct-21,Maryland,Temple Hills,3101 Branch Ave,0,1,N/A
2137904,10-Oct-21,Ohio,Toledo,1550 Brooke Park,0,1,N/A
2136170,8-Oct-21,Ohio,Cleveland,10000 block of Hulda Ave,0,1,N/A
2136181,8-Oct-21,Maryland,Capitol Heights,5254 Marlboro Pike,0,1,N/A
2134657,7-Oct-21,Illinois,Chicago,900 block of N Orleans St,0,4,N/A
2135796,7-Oct-21,Texas,Winnie,234 Buccaneer Dr,0,1,N/A
2136432,5-Oct-21,Ohio,Warren,900 block of Landsdowne Ave SW,0,1,N/A
2133263,2-Oct-21,Virginia,Hopewell,2800 block of Grant St,0,1,N/A
2131655,2-Oct-21,New Jersey,Trenton,Meade St,0,1,N/A
2129993,1-Oct-21,New York,Brooklyn,160 Wyckoff St,0,1,N/A
2126074,26-Sep-21,Illinois,Chicago,5700 block of S Bishop St,0,1,N/A
2125041,23-Sep-21,Oregon,Salem,Stockton Ave S,0,1,N/A
2121804,21-Sep-21,New York,Brooklyn,5 MetroTech Center,0,1,N/A
2119865,18-Sep-21,Georgia,Atlanta (East Point),4031 7 Oaks Ln SW,0,1,N/A
